Song Name,Artist Name
Ghost,Justin Bieber
Heat Waves,Glass Animals
Heat Waves - Slowed,Glass Animals
Left and Right (Feat. Jung Kook of BTS),Charlie Puth
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
Intentions (feat. Quavo),Justin Bieber
Yummy,Justin Bieber
Company,Justin Bieber
As I Am (feat. Khalid),Justin Bieber
Hold On,Justin Bieber
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes
I Didn't Know,Sofia Carson
PILLOWTALK,ZAYN
Lily,Alan Walker
Happier Than Ever,Billie Eilish
lowkey,NIKI
Attention,Charlie Puth
Wolves,Selena Gomez
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth
FAKE LOVE,BTS
Life Goes On,BTS
Butter,BTS
Under the Influence (Sped Up) - Your Body Language Speaks to Me,Hiko
Under The Influence,Chris Brown
Bad Liar,Imagine Dragons
Love Me,Justin Bieber
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding
Dandelions,Ruth B.
Dandelions - slowed + reverb,Ruth B.
MIDDLE OF THE NIGHT,Elley Duhé
middle of The Night - Slowed,RAWE INC
XOXO,JEON SOMI
Despacito - Remix,Luis Fonsi
Love Yourself,Justin Bieber
Walking The Wire,Imagine Dragons
Eenie Meenie,Justin Bieber
Sorry,Justin Bieber
On My Way - Da Tweekaz Remix,Alan Walker
Levitating (feat. DaBaby),Dua Lipa
Falling,Trevor Daniel
2U (feat. Justin Bieber),David Guetta
"Alone, Pt. II",Alan Walker
Let Me Down Slowly,Alec Benjamin
MONTERO (Call Me By Your Name),Lil Nas X
Love Your Voice,JONY
changes,XXXTENTACION
Alone,Marshmello
Angel Baby - Slowed,Troye Sivan
Angel Baby,Troye Sivan
Bones,Imagine Dragons
Let Me Love You,DJ Snake
Who I Am,Anne-Marie
The Heart Wants What It Wants,Selena Gomez
Dolls,Bella Poarch
abcdefu,GAYLE
Wherever I Go,OneRepublic
"thank u, next",Ariana Grande
you broke me first,Tate McRae
Wildest Dreams,Taylor Swift
WITHOUT YOU,The Kid LAROI
Cold Water,Major Lazer
See You Again (feat. Charlie Puth),Wiz Khalifa
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
Levitating (feat. DaBaby),Dua Lipa
Make It Right (feat. Lauv),BTS
positions,Ariana Grande
Hold On,Justin Bieber
Without Me,Halsey
Infinity,Jaymes Young
Hate Me (with Juice WRLD),Ellie Goulding
Boy With Luv (feat. Halsey),BTS
Happier,Marshmello
Boyfriend,Justin Bieber
Where Are Ü Now (with Justin Bieber),Jack Ü
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled
Off My Face,Justin Bieber
As Long As You Love Me,Justin Bieber
Anyone,Justin Bieber
There She Go (feat. Lil Uzi Vert),Justin Bieber
Hailey,Justin Bieber
Confident,Justin Bieber
2 Much,Justin Bieber
Lifetime,Justin Bieber
Die For You (feat. Dominic Fike),Justin Bieber
Somebody,Justin Bieber
Honest (feat. Don Toliver),Justin Bieber
Lily,Alan Walker
Takeaway (feat. Lennon Stella) - Pilton Remix,The Chainsmokers
Pretty Girl,Maggie Lindemann
Hot Girl Bummer,blackbear
DJ GHOST VIRAL - Remix,Dj Yogie Rmx
Ghost Jedag Jedug Mashup,Agan Rmx
Come Inside,Jimmy Brown
vendetta!,MUPP
Cutie,Kenneyon
Love You Like A Love Song,Selena Gomez & The Scene
The Night We Met (feat. Phoebe Bridgers),Lord Huron
The Bones,Maren Morris
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons
Blank Space,Taylor Swift
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
Deserve You,Justin Bieber
STAY (with Justin Bieber),The Kid LAROI
Forever (feat. Post Malone & Clever),Justin Bieber
I'll Show You,Justin Bieber
Closer,The Chainsmokers
There's Nothing Holdin' Me Back,Shawn Mendes
Love You Different (feat. BEAM),Justin Bieber
People You Know,Selena Gomez
I Lost You (feat. Yaar),Havana
Serenata Mexicana,Havana
Hope,XXXTENTACION
After Dark x Sweater Weather (slowed to perfection) - TikTok Remix,TommyMuzzic
After Dark x Sweater Weather (sped up to perfection) - TikTok Remix,TommyMuzzic
After Dark x Sweater Weather,mikeeysmind
Tigini,Kikimoteleba
Business (feat. Naza),DYSTINCT
Starboy,The Weeknd
Without Me,Halsey
Rewrite The Stars,James Arthur
One Dance,Drake
Agora Hills,Doja Cat
Is There Someone Else,KeepVibe
Is There Someone Else?,The Weeknd
Christmas Lights,Zach Seabaugh
Dance Monkey - Stripped Back,Tones And I
Dance Monkey,Tones And I
Dynamite,BTS
Spring Day,BTS
Set Fire X The Hills,KeepVibe
Lonely (with benny blanco),Justin Bieber
Without Me,Eminem
Mockingbird,Eminem
Speedometer,Post Malone
Cruel Summer,Taylor Swift
I Wanna Be Yours,Arctic Monkeys
Die For You,The Weeknd
SNAP,Rosa Linn
Anti-Hero,Taylor Swift
One Of The Girls - Sped Up,The Weeknd
I Want It That Way,Backstreet Boys
Better Place (From TROLLS Band Together),*NSYNC
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift
Jalebi Baby,Tesher
Cheap Thrills,Sia
STAY (with Justin Bieber),The Kid LAROI
New Rules,Dua Lipa
Safari,Serena
Stereo Hearts,Gym Class Heroes
Rockstar,Ilkay Sencan
I'm feeling Lonely,Megumi
If We Ever Broke Up,Mae Stephens
Calm Down (with Selena Gomez),Rema
Boy With Luv - Japanese ver.,BTS
Rover,KAI
Mary On A Cross,Eibell
All The Stars (with SZA),Kendrick Lamar
Hurts So Good,Astrid S
I Like Me Better,Lauv
Scars To Your Beautiful,Alessia Cara
Mr. Rover,Dara
Night Changes,One Direction
Just Us,Aashir Wajahat
